Id;Designator;Quantity;Mfg Part #;Description;Footprint;Type
1;BZ1;1;WT-1205;BUZZER MAGNETIC 5V 12MM TH;Buzzer_12x9.5RM7.6;THT
2;C1, C2, C3, C6, C8, C9;6;CL10E104KC8VPNC;CAP CER 100NF 100V X8L 0603;C_0805_2012Metric;SMD
3;C4, C5, C7;3;GRM21BR61H106KE43L;CAP CER 10UF 50V X5R 0805;C_0805_2012Metric;SMD
4;D1, D2, D3, D4, D5, D6;6;3484;ADDRESS LED DISCRETE SERIAL RGB;LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm;SMD
5;D7, D8, D9, D10;4;EAST2012WA1;LED WHITE DIFFUSED 0805 SMD;LED_0805_2012Metric;SMD
6;DWM1;1;DWM100C;RX TXRX MODULE BT TRC ANT SMD;DWM1000;SMD
7;J1;1;SSK01-MPH-254-A6;2.54MM MALE HEADER 1X6PIN, STRAI;PinHeader_1x06_P1.00mm_Vertical;THT
8;R1, R2;2;RC0402JR-074K7L;RES 4.7K OHM 5% 1/16W 0402;R_0603_1608Metric;SMD
9;R3, R4, R5, R6;4;RMCF0402FT10K0;RES 10K OHM 1% 1/16W 0402;R_0603_1608Metric;SMD
10;R7, R8, R9, R10;4;RC0201FR-0733RL;RES 33 OHM 1% 1/20W 0201;R_0805_2012Metric;SMD
11;U1, U9;2;AS7341-DLGM;COLOR SENSOR I2C 16-B 8-TFLGA;AMS_OLGA-8_2x3.1mm_P0.8mm;SMD
12;U2;1;LSM9DS1TR;IMU ACCEL/GYRO/MAG I2C/SPI 24LGA;LGA-24L_3x3.5mm_P0.43mm;SMD
13;U3;1;VL53L0CXV0DH/1;SENSOR OPTICAL 24CM I2C;ST_VL53L1x;SMD
14;U4;1;AP7384-33V-A;IC REG LINEAR 3.3V 50MA TO92;TO-92_Inline_Wide;THT
15;U5;1;NCP114ASN330T1G;IC REG LINEAR 3.3V 300MA 5-TSOP;SOT-223-3_TabPin2;THT
16;U6;1;SC18IS604PWJ;IC SPI TO I2C BRIDGE;TSSOP-16_4.4x5mm_P0.65mm;SMD
17;U7;1;BMP390;SENSOR 18.13PSIA 10LGA;Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering;SMD
